DEBUG 2026-04-28 20:58:40,138 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - ProductManager.Users.Dto.UserDto
DEBUG 2026-04-28 20:58:40,139 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - ProductManager.Sessions.Dto.TenantLoginInfoDto
DEBUG 2026-04-28 20:58:40,140 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - ProductManager.Sessions.Dto.UserLoginInfoDto
DEBUG 2026-04-28 20:58:40,140 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - ProductManager.Roles.Dto.PermissionDto
DEBUG 2026-04-28 20:58:40,140 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - ProductManager.MultiTenancy.Dto.CreateTenantDto
DEBUG 2026-04-28 20:58:40,140 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - ProductManager.MultiTenancy.Dto.TenantDto
INFO  2026-04-28 20:58:48,352 [2    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,fa,ja,zh-Hans
WARN  2026-04-28 20:58:49,658 [2    ] Microsoft.AspNetCore.Server.Kestrel      - Overriding address(es) 'https://localhost:44311/'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
INFO  2026-04-28 20:58:49,746 [2    ] Microsoft.Hosting.Lifetime               - Now listening on: https://localhost:44311
INFO  2026-04-28 20:58:49,749 [2    ] Microsoft.Hosting.Lifetime               - Application started. Press Ctrl+C to shut down.
INFO  2026-04-28 20:58:49,749 [2    ] Microsoft.Hosting.Lifetime               - Hosting environment: Development
INFO  2026-04-28 20:58:49,749 [2    ] Microsoft.Hosting.Lifetime               - Content root path: D:\HocTap\STTech\10.2.0\aspnet-core\src\ProductManager.Web.Host
INFO  2026-04-28 20:58:53,726 [17   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/ - - -
INFO  2026-04-28 20:58:55,906 [17   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'ProductManager.Web.Host.Controllers.HomeController.Index (ProductManager.Web.Host)'
INFO  2026-04-28 20:58:56,044 [17   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Index() on controller ProductManager.Web.Host.Controllers.HomeController (ProductManager.Web.Host).
INFO  2026-04-28 20:58:56,150 [17   ] c.Infrastructure.ControllerActionInvoker - Executing action method ProductManager.Web.Host.Controllers.HomeController.Index (ProductManager.Web.Host) - Validation state: Valid
INFO  2026-04-28 20:58:56,164 [17   ] c.Infrastructure.ControllerActionInvoker - Executed action method ProductManager.Web.Host.Controllers.HomeController.Index (ProductManager.Web.Host), returned result Microsoft.AspNetCore.Mvc.RedirectResult in 0.37ms.
INFO  2026-04-28 20:58:56,450 [7    ] vc.Infrastructure.RedirectResultExecutor - Executing RedirectResult, redirecting to /swagger.
INFO  2026-04-28 20:58:56,466 [7    ] c.Infrastructure.ControllerActionInvoker - Executed action ProductManager.Web.Host.Controllers.HomeController.Index (ProductManager.Web.Host) in 409.7827ms
INFO  2026-04-28 20:58:56,468 [7    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'ProductManager.Web.Host.Controllers.HomeController.Index (ProductManager.Web.Host)'
INFO  2026-04-28 20:58:56,485 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/ - 302 0 - 2773.9525ms
INFO  2026-04-28 20:58:56,497 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger - - -
INFO  2026-04-28 20:58:56,562 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/swagger - 301 0 - 64.9021ms
INFO  2026-04-28 20:58:56,570 [15   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger/index.html - - -
INFO  2026-04-28 20:58:56,786 [17   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/swagger/index.html - 200 - text/html;charset=utf-8 215.3652ms
INFO  2026-04-28 20:58:56,885 [15   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger/swagger-ui.css - - -
INFO  2026-04-28 20:58:56,886 [16   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger/swagger-ui-bundle.js - - -
INFO  2026-04-28 20:58:56,899 [17   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger/swagger-ui-standalone-preset.js - - -
INFO  2026-04-28 20:58:56,901 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger/ui/abp.js - - -
INFO  2026-04-28 20:58:56,902 [9    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger/ui/abp.swagger.js - - -
INFO  2026-04-28 20:58:56,962 [19   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger/ui/abp.swagger.js'. Physical path: 'D:\HocTap\STTech\10.2.0\aspnet-core\src\ProductManager.Web.Host\wwwroot\swagger\ui\abp.swagger.js'
INFO  2026-04-28 20:58:56,963 [7    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger/ui/abp.js'. Physical path: 'D:\HocTap\STTech\10.2.0\aspnet-core\src\ProductManager.Web.Host\wwwroot\swagger\ui\abp.js'
INFO  2026-04-28 20:58:56,963 [19   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/swagger/ui/abp.swagger.js - 200 8029 text/javascript 60.8904ms
INFO  2026-04-28 20:58:56,963 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/swagger/ui/abp.js - 200 3697 text/javascript 62.1383ms
INFO  2026-04-28 20:58:56,982 [16   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A'
INFO  2026-04-28 20:58:56,982 [16   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/swagger/swagger-ui.css - 200 154949 text/css 98.0794ms
INFO  2026-04-28 20:58:56,993 [19   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A'
INFO  2026-04-28 20:58:56,993 [19   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/swagger/swagger-ui-standalone-preset.js - 200 229223 text/javascript 94.6795ms
INFO  2026-04-28 20:58:57,029 [20   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A'
INFO  2026-04-28 20:58:57,039 [20   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44311/swagger/swagger-ui-bundle.js - 200 1484234 text/javascript 143.3125ms
INFO  2026-04-28 20:58:57,523 [17   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/AntiForgery/SetCookie - - -
INFO  2026-04-28 20:58:57,534 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44311/swagger/v1/swagger.json - - -
INFO  2026-04-28 20:58:57,535 [17   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'ProductManager.Web.Host.Controllers.AntiForgeryController.SetCookie (ProductManager.Web.Host)'
INFO  2026-04-28 20:58:57,582 [17   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "SetCookie", controller = "AntiForgery", area = ""}. Executing controller action with signature Void SetCookie() on controller ProductManager.Web.Host.Controllers.AntiForgeryController (ProductManager.Web.Host).
INFO  2026-04-28 20:58:57,588 [17   ] c.Infrastructure.ControllerActionInvoker - Executing action method ProductManager.Web.Host.Controllers.AntiForgeryController.SetCookie (ProductManager.Web.Host) - Validation state: Valid
